# General Blocks
66.220.224.0/24,US,US-VT,Grafton,05146
66.220.225.0/24,US,US-VT,Mt Holly,
66.220.226.0/25,US,US-VT,Chester,05143
66.220.226.128/25,US,US-VT,Bridgewater,05034
66.220.227.0/24,US,US-VT,Springfield,05156
66.220.228.0/24,US,US-VT,Wallingford,05773
66.220.229.0/25,US,US-VT,Mt Holly,
66.220.230.0/24,US,US-VT,Mt Holly,
66.220.232.0/24,US,US-VT,Bridgewater,05034
66.220.234.0/24,US,US-VT,Pawlet,05761
66.220.235.0/24,US,US-VT,Wallingford,05773
66.220.236.0/25,US,US-VT,Pawlet,05761
66.220.236.128/25,US,US-VT,Pawlet,05761
66.220.237.0/24,US,US-VT,Springfield,05156
66.220.238.0/24,US,US-VT,Springfield,05156
66.220.239.0/24,US,US-VT,Wallingford,05773
66.220.240.0/24,US,US-VT,Killington,05751
66.220.241.0/24,US,US-VT,Killington,05751
66.220.242.0/24,US,US-VT,Springfield,05156
66.220.243.0/26,US,US-VT,Springfield,05156
66.220.243.64/26,US,US-VT,Springfield,05156
66.220.243.128/25,US,US-VT,Springfield,05156
66.220.244.0/26,US,US-VT,Grafton,05146
66.220.244.64/26,US,US-VT,Springfield,05156
66.220.244.128/25,US,US-VT,Springfield,05156
66.220.245.0/28,US,US-VT,Saxtons River,
66.220.245.16/28,US,US-VT,Grafton,05146
66.220.245.32/27,US,US-VT,Wallingford,05773
66.220.245.64/27,US,US-VT,Killington,05751
66.220.245.96/28,US,US-VT,Pawlet,05761
66.220.245.112/28,US,US-VT,Mt Holly,
66.220.245.128/27,US,US-VT,Chester,05143
66.220.245.160/27,US,US-VT,Bridgewater,
66.220.245.192/27,US,US-VT,Killington,05751
66.220.245.224/28,US,US-VT,Grafton,05146
66.220.245.240/28,US,US-VT,Killington,05751
66.220.246.0/24,US,US-VT,Killington,05751
66.220.247.0/24,US,US-VT,Hartland,05048
66.220.248.0/24,US,US-VT,Pawlet,05761
66.220.249.0/24,US,US-VT,Mt Holly,
66.220.250.0/24,US,US-VT,Mt Holly,
66.220.251.0/24,US,US-VT,Springfield,05156
66.220.252.0/24,US,US-VT,Springfield,05156
66.220.253.0/24,US,US-VT,Saxtons River,05154
66.220.254.0/24,US,US-VT,Pawlet,05761
66.220.255.0/24,US,US-VT,Pawlet,05761
66.220.242.0/29,US,US-VT,Bridgewater,05034
66.220.242.8/29,US,US-VT,Plymouth,05056
66.220.242.16/30,US,US-VT,Springfield,05156
66.220.242.20/30,US,US-VT,Stowe,05672
66.220.242.24/29,US,US-VT,Springfield,05156
66.220.242.32/28,US,US-VT,St Albans,
66.220.242.48/28,US,US-VT,Chester,05143
66.220.242.64/27,US,US-VT,Rutland,05701
66.220.242.96/30,US,US-VT,Springfield,05156
66.220.242.100/30,US,US-VT,Springfield,05156
66.220.242.104/30,US,US-VT,Springfield,05156
66.220.242.108/30,US,US-VT,Springfield,05156
66.220.242.112/29,US,US-VT,Springfield,05156
66.220.242.120/30,US,US-VT,Springfield,05156
66.220.242.124/30,US,US-VT,Springfield,05156
66.220.242.128/27,US,US-VT,Springfield,05156
66.220.242.160/30,US,US-VT,Springfield,05156
66.220.242.164/30,US,US-VT,Stowe,05672
66.220.242.168/30,US,US-VT,St Albans,
66.220.242.172/30,US,US-VT,Stowe,05672
66.220.242.176/28,US,US-VT,Springfield,05156
66.220.242.192/30,US,US-VT,Chelsea,05038
